ID,post_type,post_status,post_name,post_title,post_content,post_excerpt,post_author,post_date,post_modified,post_thumbnail,post_parent,menu_order,post_tags,post_category,summary,seo_title,image,book_star,amazon_url,author,publisher,price,no_price,type,reread,text,reread_2,text_2,reread_3,text_3,reread_4,text_4,reread_5,text_5,status,auto_update_uri,ao_post_optimize,views,post_views_count,bzb_meta_keywords,bzb_meta_description,bzb_meta_robots,bzb_post_asset_js4head,bzb_post_asset_css,bzb_post_asset_js,bzb_cta,bzb_post_front_info,bzb_checklists,bzb_show_toppage_flag,bzb_include_rss,bzb_post_social_buttons,title,no-price
,books,publish,english-grammar-manual-basic,英文法のトリセツ—英語負け組を救う丁寧な取扱説明書 じっくり基礎編,確かにすばらしくわかりやすかった。いままで何ひとつ英語のことを知らなかったなあと痛感。とにかくは、今は行くところがあるので、がむしゃらに英語勉強中であります。,,2,2016-08-29 1:00:36,2020-07-23 1:01:04,,0,0,"book,english",book-review,,,https://test.b2i.link/wp-content/uploads/2020/07/41FCRJK29RL._SX350_BO1204203200_.jpg,"</i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i>",https://www.amazon.co.jp/dp/product/4757408447/ref=as_li_tf_tl?camp=247&creative=1211&creativeASIN=4757408447&ie=UTF8&linkCode=as2&tag=bookmeter_book_image_image_pc_login-22,阿川 イチロヲ,アルク,870,購入価格: Kindle Unlimited(0円),,,,,,,,,,,,,,,4,76,,,"a:2:{i:0;s:0:"""";i:1;s:0:"""";}",,,,"a:5:{s:9:""org_title"";s:0:"""";s:9:""org_image"";s:0:"""";s:11:""org_content"";s:0:"""";s:15:""org_button_text"";s:0:"""";s:14:""org_button_url"";s:0:"""";}","a:2:{s:4:""ruby"";s:0:"""";s:5:""catch"";s:0:"""";}","a:1:{i:0;s:0:"""";}",,,,,
,books,publish,pensees,パンセ,ようやく読み終えた。長かったという印象しかない。あと、パスカルは39才と、夭折の人であったのかあ、と。,,2,2016-08-06 1:03:29,2020-07-23 1:04:49,,0,0,book,book-review,,,https://test.b2i.link/wp-content/uploads/2020/07/41h71RWKIqL._SX342_BO1204203200_.jpg,"<i class=""fa fa-star"" aria-hidden=""true""></i><i class=""fa fa-star"" aria-hidden=""true""></i><i class=""fa fa-star"" aria-hidden=""true""></i>",https://www.amazon.co.jp/dp/product/4122000602/ref=as_li_tf_tl?camp=247&creative=1211&creativeASIN=4122000602&ie=UTF8&linkCode=as2&tag=bookmeter_book_image_image_pc_login-22,"パスカル (著), 前田 陽一 (翻訳), 由木 康 (翻訳)",中央公論新社,891,購入価格: Kindle Unlimited(0円),,,,,,,,,,,,,,,4,79,,,"a:2:{i:0;s:0:"""";i:1;s:0:"""";}",,,,"a:5:{s:9:""org_title"";s:0:"""";s:9:""org_image"";s:0:"""";s:11:""org_content"";s:0:"""";s:15:""org_button_text"";s:0:"""";s:14:""org_button_url"";s:0:"""";}","a:2:{s:4:""ruby"";s:0:"""";s:5:""catch"";s:0:"""";}","a:1:{i:0;s:0:"""";}",,,,,
,books,publish,annoying-question-answer-does-anyone-know-prewar,夏彦迷惑問答 誰か「戦前」を知らないか,再び山本先生の本。西洋のことわざ「ロバは旅をしても馬になって帰ってくるわけではない」というのは、まったく至言である。,,2,2016-07-30 1:07:36,2020-07-23 1:08:33,,0,0,book,book-review,,,https://test.b2i.link/wp-content/uploads/2020/07/41Q5MMHZC6L._SX294_BO1204203200_.jpg,"<i class=""fa fa-star"" aria-hidden=""true""></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i>",https://www.amazon.co.jp/dp/product/4166600648/ref=as_li_tf_tl?camp=247&creative=1211&creativeASIN=4166600648&ie=UTF8&linkCode=as2&tag=bookmeter_book_image_image_pc_login-22,山本 夏彦,文藝春秋,1095,購入価格: Kindle Unlimited(0円),,,,,,,,,,,,,,,4,98,,,"a:2:{i:0;s:0:"""";i:1;s:0:"""";}",,,,"a:5:{s:9:""org_title"";s:0:"""";s:9:""org_image"";s:0:"""";s:11:""org_content"";s:0:"""";s:15:""org_button_text"";s:0:"""";s:14:""org_button_url"";s:0:"""";}","a:2:{s:4:""ruby"";s:0:"""";s:5:""catch"";s:0:"""";}","a:1:{i:0;s:0:"""";}",,,,,
,books,publish,tips-for-speaking-in-english-how-to-improve-your-interpreter-2,英語で話すヒント――通訳者が教える上達法,とにかく英語を勉強している。海外レジデンスに行くと目標を定めているせいか、いままでで一番モチベーションがある。とりあえず、がむしゃらに努力する。なんといっても、努力は私の十八番。,,2,2016-07-29 1:08:53,2020-07-23 1:12:42,,0,0,"book,english",book-review,,,https://test.b2i.link/wp-content/uploads/2016/07/414q8m1fr-L._SX299_BO1204203200_.jpg,"<i class=""fa fa-star"" aria-hidden=""true""></i><i class=""fa fa-star"" aria-hidden=""true""></i><i class=""fa fa-star"" aria-hidden=""true""></i>",https://www.amazon.co.jp/gp/product/4004313503/ref=ppx_od_dt_b_asin_title_s00?ie=UTF8&psc=1,小松 達也,岩波書店,257,購入価格: Kindle Unlimited(0円),,,,,,,,,,,,,,,1,105,,,"a:2:{i:0;s:0:"""";i:1;s:0:"""";}",,,,"a:5:{s:9:""org_title"";s:0:"""";s:9:""org_image"";s:0:"""";s:11:""org_content"";s:0:"""";s:15:""org_button_text"";s:0:"""";s:14:""org_button_url"";s:0:"""";}","a:2:{s:4:""ruby"";s:0:"""";s:5:""catch"";s:0:"""";}","a:1:{i:0;s:0:"""";}",,,,,
,books,publish,english-master-retsuden-admiring-japanese-english,英語達人列伝―あっぱれ、日本人の英語,とてつもなく興味深い本。岡倉天心のかっこよさ。必読である。,,2,2016-07-26 1:15:06,2020-07-23 1:17:19,,0,0,"book,english",book-review,,,https://test.b2i.link/wp-content/uploads/2020/07/410Y7P6BQ1L._SX296_BO1204203200_.jpg,"</i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i>",https://www.amazon.co.jp/dp/product/4121015339/ref=as_li_tf_tl?camp=247&creative=1211&creativeASIN=4121015339&ie=UTF8&linkCode=as2&tag=bookmeter_book_image_image_pc_login-22,斎藤 兆史,中央公論新社,294,購入価格: Kindle Unlimited(0円),,,,,,,,,,,,,,,2,73,,,"a:2:{i:0;s:0:"""";i:1;s:0:"""";}",,,,"a:5:{s:9:""org_title"";s:0:"""";s:9:""org_image"";s:0:"""";s:11:""org_content"";s:0:"""";s:15:""org_button_text"";s:0:"""";s:14:""org_button_url"";s:0:"""";}","a:2:{s:4:""ruby"";s:0:"""";s:5:""catch"";s:0:"""";}","a:1:{i:0;s:0:"""";}",,,,,
,books,publish,introduction-to-chinese-poetry,漢詩入門,日本語の来歴的なものに触れられてよかった。漢詩をいくつか暗記したい。,,2,2016-07-23 1:18:00,2020-07-23 1:19:26,,0,0,book,book-review,,,https://test.b2i.link/wp-content/uploads/2016/07/51wriu3b9nL._SX308_BO1204203200_.jpg,"<i class=""fa fa-star"" aria-hidden=""true""></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i>",https://www.amazon.co.jp/dp/product/4005003044/ref=as_li_tf_tl?camp=247&creative=1211&creativeASIN=4005003044&ie=UTF8&linkCode=as2&tag=bookmeter_book_image_image_pc_login-22,海 知義,岩波書店,512,購入価格: Kindle Unlimited(0円),,,,,,,,,,,,,,,4,90,,,"a:2:{i:0;s:0:"""";i:1;s:0:"""";}",,,,"a:5:{s:9:""org_title"";s:0:"""";s:9:""org_image"";s:0:"""";s:11:""org_content"";s:0:"""";s:15:""org_button_text"";s:0:"""";s:14:""org_button_url"";s:0:"""";}","a:2:{s:4:""ruby"";s:0:"""";s:5:""catch"";s:0:"""";}","a:1:{i:0;s:0:"""";}",,,,,
,books,publish,criticism-of-violence-and-other-ten,暴力批判論 他十篇,とりあえず読んだとしか言いようがない。,,2,2016-07-17 1:20:04,2020-07-23 1:22:24,,0,0,book,book-review,,,https://test.b2i.link/wp-content/uploads/2016/07/51jDPgJCaJL._SX350_BO1204203200_.jpg,"<i class=""fa fa-star"" aria-hidden=""true""></i><i class=""fa fa-star"" aria-hidden=""true""></i>",https://www.amazon.co.jp/dp/product/4003246314/ref=as_li_tf_tl?camp=247&creative=1211&creativeASIN=4003246314&ie=UTF8&linkCode=as2&tag=bookmeter_book_image_image_pc_login-22,"ヴァルター ベンヤミン  (著), 野村 修 (編さん, 翻訳)",岩波書店,303,購入価格: Kindle Unlimited(0円),,,,,,,,,,,,,,,2,103,,,"a:2:{i:0;s:0:"""";i:1;s:0:"""";}",,,,"a:5:{s:9:""org_title"";s:0:"""";s:9:""org_image"";s:0:"""";s:11:""org_content"";s:0:"""";s:15:""org_button_text"";s:0:"""";s:14:""org_button_url"";s:0:"""";}","a:2:{s:4:""ruby"";s:0:"""";s:5:""catch"";s:0:"""";}","a:1:{i:0;s:0:"""";}",,,,,
,books,publish,english-history-a-story-from-the-past-to-the-future,英語の歴史―過去から未来への物語,海外レジデンスに赴くべく、英語を鋭意勉強中。 で、急がば回れで、英語とはなんぞや？ から読んでいる。 非常に興味深い本で、英語を学ぶだけでなく、文化論としても読んで損はない。,,2,2016-08-03 1:24:22,2020-07-23 3:19:09,,0,0,"book,english",book-review,,,https://test.b2i.link/wp-content/uploads/2020/07/412hr51f2gL._SX316_BO1204203200_.jpg,"<i class=""fa fa-star"" aria-hidden=""true""></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i>",https://www.amazon.co.jp/dp/product/4121019717/ref=as_li_tf_tl?camp=247&creative=1211&creativeASIN=4121019717&ie=UTF8&linkCode=as2&tag=bookmeter_book_image_image_pc_login-22,寺澤 盾,中央公論新社,623,購入価格: Kindle Unlimited(0円),,,,,,,,,,,,,,,12,83,,,"a:2:{i:0;s:0:"""";i:1;s:0:"""";}",,,,"a:5:{s:9:""org_title"";s:0:"""";s:9:""org_image"";s:0:"""";s:11:""org_content"";s:0:"""";s:15:""org_button_text"";s:0:"""";s:14:""org_button_url"";s:0:"""";}","a:2:{s:4:""ruby"";s:0:"""";s:5:""catch"";s:0:"""";}","a:1:{i:0;s:0:"""";}",,,,,
,books,publish,japanese-and-foreign-languages,日本語と外国語,これは文句なく必読の名著。言語はこの世の把握の方法そのものであるが、その言語のなんたるかを改めて考えさせられる。日本人が日本人であるのは、日本語をしゃべるからというのは、実は冗談抜きでまっとうな解釈で、人は生まれ落ちた場所とともに、言語に拘束されて生きてゆく、のだ。,,2,2016-06-25 1:24:49,2020-07-23 1:26:23,,0,0,"book,english",book-review,,,https://test.b2i.link/wp-content/uploads/2020/07/414JJWSKNTL._SX290_BO1204203200_.jpg,"</i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i>",https://www.amazon.co.jp/dp/product/4004301017/ref=as_li_tf_tl?camp=247&creative=1211&creativeASIN=4004301017&ie=UTF8&linkCode=as2&tag=bookmeter_book_image_image_pc_login-22,鈴木 孝夫,岩波書店,258,購入価格: Kindle Unlimited(0円),,,,,,,,,,,,,,,2,79,,,"a:2:{i:0;s:0:"""";i:1;s:0:"""";}",,,,"a:5:{s:9:""org_title"";s:0:"""";s:9:""org_image"";s:0:"""";s:11:""org_content"";s:0:"""";s:15:""org_button_text"";s:0:"""";s:14:""org_button_url"";s:0:"""";}","a:2:{s:4:""ruby"";s:0:"""";s:5:""catch"";s:0:"""";}","a:1:{i:0;s:0:"""";}",,,,,
,books,publish,the-nude-a-study-of-nude-art-and-ideal-form,ザ・ヌード―裸体芸術論・理想的形態の研究,一年近くかかってやっと読了。とにかす分厚い。美術書の貫禄だけはある。内容は、ネイキッドとヌードの違いは、、、くらいしか説明できない。,,2,2016-06-24 1:39:38,2020-07-23 1:40:08,,0,0,book,art,,,https://test.b2i.link/wp-content/uploads/2020/07/31iaxeI5HuL._SY373_BO1204203200_.jpg,"<i class=""fa fa-star"" aria-hidden=""true""></i><i class=""fa fa-star"" aria-hidden=""true""></i><i class=""fa fa-star"" aria-hidden=""true""></i>",https://www.amazon.co.jp/dp/product/456820125X/ref=as_li_tf_tl?camp=247&creative=1211&creativeASIN=456820125X&ie=UTF8&linkCode=as2&tag=bookmeter_book_image_image_pc_login-22,"ケネス クラーク  (著), 高階 秀爾 (翻訳), 佐々木 英也 (翻訳)",美術出版社,650,購入価格: Kindle Unlimited(0円),,,,,,,,,,,,,,,3,95,,,"a:2:{i:0;s:0:"""";i:1;s:0:"""";}",,,,"a:5:{s:9:""org_title"";s:0:"""";s:9:""org_image"";s:0:"""";s:11:""org_content"";s:0:"""";s:15:""org_button_text"";s:0:"""";s:14:""org_button_url"";s:0:"""";}","a:2:{s:4:""ruby"";s:0:"""";s:5:""catch"";s:0:"""";}","a:1:{i:0;s:0:"""";}",,,,,
